group,k_cos,k_gram_correlation,k_knn_overlap,k_rsa,kv_joint_consistency,receiver_kv_joint_corr,self_attention_route_correlation,self_attention_route_overlap,sender_kv_joint_corr,v_cos,v_gram_correlation,v_knn_overlap,v_rsa
fp16_fp16,0.7773217316716909,0.8493303439214027,0.6830220903669084,0.7766378640163957,0.9797651282237244,0.5277779668602827,0.9847432117510054,0.7908641270228796,0.5422127551116449,0.0885614753497066,0.8536912076441305,0.691986083984375,0.7862423871577318
int4_fp16,0.7715485442895442,0.8391140048126025,0.6739139556884766,0.7643123655912599,0.9776345524629245,0.5277779668602827,0.9830857358008092,0.7821671622140067,0.5472213306514147,0.0864152084291813,0.844173305235537,0.681077139718192,0.7743769513243544
fp16_int4,0.7749668881629728,0.8431958956311323,0.6794488089425224,0.7712428842371861,0.980185054102289,0.5326323571519294,0.9841640372427979,0.786425999232701,0.5422127551116449,0.08698312283896875,0.8508234514322663,0.6894239698137555,0.7814464064181915
int4_int4,0.769400195052315,0.8333066488682692,0.6710472106933594,0.7592567344961156,0.9784632294748528,0.5326323571519294,0.9827128692330527,0.7784594127110072,0.5472213306514147,0.08494056692766858,0.8421535845513322,0.6796605246407645,0.7707214545059418
