dataset,layer,mean_gold_logit,mean_gold_margin,mean_gold_prob,mean_gold_rank,mean_median_gold_rank,mean_token_count,median_gold_margin,median_gold_rank,method,n_rows,n_samples,receiver_prompt_mode,token_group
gsm8k,24,6.068282016158696,-3.3910199455831727,0.15541729939322724,2195.578612864573,13.75,120.828125,-3.41377945430183,1859.0957010022944,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,25,7.036508177247945,-3.2874419561868717,0.1872640655989042,1656.49870307487,9.9296875,120.828125,-3.329865442270658,1468.4544953116383,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,26,7.826460337284574,-2.635438525982459,0.24315349475613995,1311.6038771296858,4.828125,120.828125,-2.6642292240475323,1013.22087621498,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,27,8.952466045696605,-2.3742298876203343,0.2864860201428717,955.2261336807358,3.953125,120.828125,-2.4925472730928995,753.3537571662571,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,28,9.99529294487745,-2.2360509375056643,0.33069553545318325,810.0155724163727,3.140625,120.828125,-2.3713878101584327,631.6617647058824,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,29,12.34407406918674,-0.7136941332837546,0.45528803353842145,317.896126573021,1.609375,120.828125,-0.8048013916015625,232.7946251283807,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,30,13.13653630114608,-0.46308295423453905,0.49415641176702707,263.48594626014136,1.359375,120.828125,-0.46973370240066226,161.62599206349205,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,31,14.10619446978133,-0.6139326440251436,0.49802816965439123,201.67649790177404,1.46875,120.828125,-0.6468307625534188,148.7931039447164,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,32,16.695041342216086,-0.3547784029512439,0.528817392350052,277.00021888207243,1.296875,120.828125,-0.390186022782651,172.164375,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,33,18.735786084917386,0.5667947680480401,0.5736358921581183,143.57565262559973,1.171875,120.828125,0.7220332668818008,95.12652374947457,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,34,18.99494940586511,2.249751302900315,0.6290478209800189,83.4989062980975,1.0625,120.828125,2.322199581299519,52.28408750374588,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,35,33.48669105071556,0.8814874715041835,0.5268295924090637,220.15079780779183,1.34375,120.828125,0.7680764296187683,173.16050295857988,mse_only,64,64,context_aware,all_answer_tokens
