variant,base_em,counterfactual_em,paired_consistency,shuffled_em,value_mismatched_em,key_mismatched_em,zero_em,reader_off_em,shuffled_memory_answer_hit,mismatched_memory_answer_hit,route_kl,readout_cosine,target_attention_mass,kv_layer_routing_l1,kv_head_routing_l1,kv_layer_support_disagreement,token_binding_error,key_relation_error,value_relation_error,readout_relation_error,native_paired_recovery
task_only,0.109375,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,17.980380970156855,0.013630118774787862,0.01880289646016302,0.0002288464893354103,5.511621381515397e-08,0.0,0.0020307856602812535,0.021954533338430338,0.00955960255669197,0.010124141022970434,0.0
shared_routing,0.0625,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,18.008112924794357,0.0112790507019377,0.018676361655830784,6.093921183492057e-05,7.914006339149182e-09,0.0,0.00201428590935393,0.021987081723636948,0.009561580445733853,0.010342571731598582,0.0
binding_relation,0.0625,0.0625,0.0,0.03125,0.0,0.0,0.0,0.0,0.0625,0.0,17.999081904689472,0.013038467387307011,0.017205076625886953,0.0002248813398182392,5.060522312305693e-08,0.0,0.002047052996204002,0.02196563349571079,0.009561551443766803,0.010262516087095719,0.0
shared_routing_relation,0.046875,0.109375,0.015625,0.0,0.0,0.03125,0.0,0.0,0.078125,0.015625,17.958080659930904,0.014008482584535563,0.020519777274449667,5.384019095799886e-05,7.687181557969325e-09,0.0,0.0020298841645853827,0.02193223830545321,0.0095408772394876,0.010258438880555332,0.015873015873015872
