layer_config,layers,seed,correct_em,correct_f1,zero_f1,shuffled_current_f1,shuffled_source_f1,mismatch_f1,start_accuracy,end_accuracy,supporting_sentence_recall,retention,writer_checkpoint
uniform16,16,1234,0.26401869158878505,0.37956211295271214,0.09415824310684126,0.002974504726841175,0.25815664086692125,0.24389162621020788,0.3107476635514019,0.3060747663551402,0.8928110989454751,0.9599928734623794,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/uniform16/seed1234/writer/writer_best.pt
uniform16,16,2345,0.24065420560747663,0.36594185306028126,0.039920776874460225,0.004283489096573208,0.23256739986727792,0.24627799454597504,0.29439252336448596,0.29439252336448596,0.9153795710233884,1.096614106549935,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/uniform16/seed2345/writer/writer_best.pt
uniform16,16,3456,0.2616822429906542,0.3680044718903548,0.08773463876542491,0.0028602406694765137,0.2885743096330897,0.22189803050165885,0.3177570093457944,0.31542056074766356,0.9152585273591157,0.9427238761398863,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/uniform16/seed3456/writer/writer_best.pt
all36,36,1234,0.2897196261682243,0.3995916985402967,0.08418780790258033,0.0030912104510235345,0.2597828008836805,0.22421373789914195,0.3247663551401869,0.3411214953271028,0.8989565564650241,1.0614006371873763,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/all36/seed1234/writer/writer_best.pt
all36,36,2345,0.24065420560747663,0.3362650138040028,0.08089129565409532,0.0022892476163504203,0.27580210471222016,0.24169873022951635,0.2757009345794392,0.2897196261682243,0.9100930927512801,0.8593864413567521,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/all36/seed2345/writer/writer_best.pt
all36,36,3456,0.26401869158878505,0.37162012442386283,0.08949367053751332,0.0008507069254732806,0.3007496527356341,0.2367345393596081,0.32242990654205606,0.3060747663551402,0.890128147239997,0.9494150415105178,/home/yezhe/伪查询/runs/p3c_question_independent_multilayer_canonical_writer_seed1234/branches/all36/seed3456/writer/writer_best.pt
