answer_em,answer_em_ci95_high,answer_em_ci95_low,answer_f1,answer_f1_ci95_high,answer_f1_ci95_low,attention_output_cos,attention_output_cos_ci95_high,attention_output_cos_ci95_low,attention_route_js,attention_route_js_ci95_high,attention_route_js_ci95_low,attention_route_overlap,attention_route_overlap_ci95_high,attention_route_overlap_ci95_low,ce_delta,ce_delta_ci95_high,ce_delta_ci95_low,k_cos,k_cos_ci95_high,k_cos_ci95_low,kv_joint_consistency,kv_joint_consistency_ci95_high,kv_joint_consistency_ci95_low,kv_mse,kv_mse_ci95_high,kv_mse_ci95_low,kv_relative_mse,kv_relative_mse_ci95_high,kv_relative_mse_ci95_low,logit_kl,logit_kl_ci95_high,logit_kl_ci95_low,method,n,top1_match,top1_match_ci95_high,top1_match_ci95_low,v_cos,v_cos_ci95_high,v_cos_ci95_low
0.0,0.0,0.0,0.04727520233034939,0.07324540272839905,0.021294217934842936,0.7626746591247086,0.768345197738797,0.7572186919760757,0.056218201399523035,0.05931717009929603,0.053114831875674486,0.6280272617004812,0.6365941037793943,0.6197443244758428,3.820209155790508,4.930271554179489,2.768166161538102,0.9529349750706128,0.953624758899345,0.9522497843618372,0.9092966646421701,0.9100991792461303,0.9084891071127329,6.1251977022426605,6.261343335487791,6.007800269629896,0.11068775938578515,0.11167192885971937,0.10968971690915298,3.1600863092508393,3.875938877146293,2.4760641811897486,head_shuffle@alpha=0.25,64,0.4387936317361891,0.5232348768680822,0.3545010677247774,0.9478739800397307,0.9482415814202146,0.9475001367266357
0.0,0.0,0.0,0.029421992427507135,0.05296376098880694,0.011622759899414312,0.3806148382301606,0.3871798915769237,0.3744699215433051,0.204968662468413,0.2088070287008512,0.2012495653759808,0.40585682739869555,0.4149574724520789,0.39705590564637017,7.785794320516288,9.286440121452324,6.332235658890568,0.7008400929002424,0.7049148315287311,0.6966601390669114,0.5637521706022588,0.5666776660842257,0.56044099520077,24.500622653767614,25.015801523064184,23.97678681741152,0.44274987743483507,0.4465639596521474,0.4390626937495784,6.985960812630431,7.95211873310358,5.966158631310306,head_shuffle@alpha=0.5,64,0.2549428469501436,0.3297126156336162,0.1849848681653384,0.7363135962015284,0.7380729383946995,0.7346753745664111
0.0,0.0,0.0,0.026213369963369967,0.046649877899877894,0.009840029761904762,0.16924836594148168,0.1754160323076921,0.16291545891403936,0.4006978658877155,0.40473364573568427,0.3967922056033136,0.23500703008280002,0.2410725473792159,0.22942600691936343,5.868804439902306,7.458287737518549,4.387484963610769,0.3382291863738049,0.3460520065704713,0.33050399044704887,0.216029023001933,0.2211346875833962,0.21084686239986306,55.126287333948966,56.34849916881448,53.970547995069026,0.9961864512006287,1.0043833127458386,0.987664423885144,5.924298572584027,7.066581356954958,4.833589627655517,head_shuffle@alpha=0.75,64,0.2376133007928729,0.31732912557199594,0.16967401613947003,0.4082009153041457,0.41234323584649246,0.4039896153449913
0.0,0.0,0.0,0.01314484126984127,0.030753968253968252,0.0,0.10428935345761861,0.10897224764812158,0.09886323460885041,0.49573156282141495,0.4995401560799759,0.491406969565391,0.13390329495814512,0.1383788899106938,0.12977911889542415,6.85429016686976,8.276163080334664,5.138398102112115,0.10793732646379794,0.11737820039601354,0.09881670485833231,0.12593124786571608,0.1314485820367813,0.12048482010212799,98.00248832428146,100.07906799445747,96.1359084606388,1.7709994154657966,1.7867934896483868,1.755485770627482,7.93881492875718,9.126369990481587,6.771210265145626,head_shuffle@alpha=1,64,0.16975615767296404,0.22989554052473976,0.11342270527675283,0.125170553929483,0.13055219536804868,0.11997153269143765
0.0,0.0,0.0,0.0634152306027306,0.09498739541708293,0.0342412015068265,0.9108661368622312,0.9146210434580488,0.9066773630570554,0.02337208074355398,0.02581190532672995,0.021546174994747553,0.7718651540178274,0.7790260877002896,0.7640606812359434,0.27747448766604066,0.8919456750154495,-0.5044840427814051,0.9955843193456531,0.9956036604117668,0.9955635349216339,0.9825110965674477,0.9825663162278943,0.9824555771999127,1.818137491313012,1.8641386470382997,1.7769771947555426,0.023540742614528654,0.023644122567441275,0.023428212461402507,0.7766596249014429,0.9145913497798671,0.6348126584316983,low_rank@alpha=0.25,64,0.6918949580285698,0.7703211706888397,0.6126021002302877,0.9912033718678035,0.9912213069203841,0.9911841922206803
0.0,0.0,0.0,0.08932421744921745,0.12888621144480517,0.054548830076173824,0.7182009236088821,0.7240198922102407,0.7124407063778824,0.07087271913249944,0.07398991622295788,0.06798915315531694,0.6002461616548576,0.6103818307880178,0.5903680992549718,2.872978676110506,3.894745625508949,1.9433199409395456,0.9803365085140935,0.9804353936492199,0.9802422767762826,0.9120451856870204,0.9123793219232799,0.9117292985004106,7.272520239449607,7.452230944148347,7.108300370470183,0.09416256974252843,0.09458104336127836,0.09374888507040201,3.0703569822380263,3.6693762798966167,2.516317679703274,low_rank@alpha=0.5,64,0.4537608274258673,0.5310194355144631,0.3717217135766987,0.9482448685116002,0.9483247020306798,0.9481671716976313
0.0,0.0,0.0,0.025739334195216547,0.044746030623787965,0.010469019338504634,0.48077135212081756,0.48663448377526813,0.47514002222781726,0.14983536758414367,0.15298773766161114,0.1471567878148822,0.46727181780650945,0.47820599816914183,0.4571131599811321,5.570921829901636,6.7306934302905574,4.394306880235672,0.9515999588849289,0.9518697647702148,0.9513387725355902,0.7593898450223995,0.7608712686766271,0.7580654984847308,16.363169437706993,16.755383682086116,15.937035672191962,0.21186572991661834,0.2128363041404522,0.2108500462312723,4.838964267052787,5.5363148623438345,4.1403408405524535,low_rank@alpha=0.75,64,0.28528815298341215,0.3591342027677456,0.22021488851169124,0.8246891305648855,0.8252331182884518,0.8241110336168536
0.0,0.0,0.0,0.02436427696078431,0.04729875153186275,0.005859375,0.24437595881051624,0.2541102733917601,0.2352629230205983,0.25448769264923093,0.2571651577911065,0.2519949429475933,0.32397352979751304,0.3328479856134176,0.31470740510038536,7.234124941751361,8.549062197189778,5.978766302578151,0.908365068225456,0.908919779752614,0.9078035701190986,0.5266251445781174,0.530439633338496,0.5229877412843051,29.0900715162435,29.79639317702867,28.407166042140286,0.3766500539128564,0.37818607129082205,0.37502474264908714,6.224626776022289,7.009915036530566,5.484506413672423,low_rank@alpha=1,64,0.2361877734074369,0.3082282818213571,0.16806277350697202,0.5604517075366207,0.562904389272444,0.558012005053128
0.0,0.0,0.0,0.07363076568039803,0.10473938171203795,0.04485330616075101,0.9999999993347696,0.9999999997339079,0.9999999989023698,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000001462841674,1.0000001516068422,1.0000001406629702,0.0,0.0,0.0,0.0,0.0,0.0,7.825744814266473e-09,1.2063128856126112e-08,4.31369251830849e-09,native,64,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.07647470993059229,0.1068193479314803,0.04614772737474944,0.964185833598354,0.9657246464489228,0.9625031713213372,0.004231848334537095,0.0050229745591137895,0.0037675946736178342,0.9075221309904009,0.9106157777190674,0.9039461832959205,0.08973353694455,0.18614690042177243,-0.000647018097515683,0.9995635514746287,0.999564198686442,0.9995628672277754,0.9995432817044535,0.9995512792225262,0.9995364554109983,0.03436648805509966,0.0349240016951007,0.033873676675116295,0.0006250605115383223,0.0006251074142742904,0.0006250141208048328,0.026283007563482133,0.037145590409139125,0.017535228820537752,noise@alpha=0.25,64,0.9436197923496366,0.978518880228512,0.8999804691411555,0.9993787699911212,0.9993826286285185,0.9993747880807079
