attention_js,attention_output_cos,attention_output_mse,layer,n,readout_loss,route_topk_overlap
0.18441627593711019,0.16681410395540297,0.0009969127913791453,0,32,0.8341828088359762,0.56292724609375
0.3074515415355563,0.05015724398253951,0.0012995677498111036,1,32,0.9511423237672716,0.409423828125
0.3751494139432907,0.09644286031834781,0.0016380985434807371,2,32,0.9051952382251329,0.383270263671875
0.3796072769910097,0.0745369850192219,0.0022701365014654584,3,32,0.9277331514822436,0.41717529296875
0.41964126843959093,0.13624676421750337,0.0020364792944747023,4,32,0.8657897150769713,0.388916015625
0.40640012361109257,0.046341940833372064,0.0036467993559199385,5,32,0.9573048585225479,0.431976318359375
0.38794339913874865,0.056312295666430146,0.003815334326645825,6,32,0.9475030386602157,0.3720703125
0.5779414568096399,-0.20521961338818073,0.0157340437581297,7,32,1.2209536571463104,0.45953369140625
0.5552711877971888,-0.15409682295285165,0.0226349332369864,8,32,1.176731756189838,0.426727294921875
0.5158398980274796,-0.04926497503765859,0.014882183080771938,9,32,1.0641471581184305,0.415557861328125
0.4735799627378583,-0.09580461552832276,0.023151851259171963,10,32,1.1189564667874947,0.456207275390625
0.5244658468291163,-0.14558279910124838,0.015365275350632146,11,32,1.1609480744518805,0.438079833984375
0.4925129162147641,-0.07395642891060561,0.016319244488840923,12,32,1.0902756733994465,0.462646484375
0.5532155651599169,-0.07955057104118168,0.02119196840794757,13,32,1.1007425394491293,0.435821533203125
0.5117603559046984,-0.1309574560727924,0.027800059237051755,14,32,1.1587575153098442,0.451629638671875
0.5413014441728592,-0.016123274646815844,0.026338906842283905,15,32,1.0424621814890997,0.4354248046875
0.49910250306129456,0.09620609798002988,0.022818698722403497,16,32,0.9266126007423736,0.41571044921875
0.5491825342178345,0.15208041248843074,0.030439414083957672,17,32,0.8783590015955269,0.335845947265625
0.46918278839439154,0.19375343015417457,0.04145617561880499,18,32,0.8477027454646304,0.447509765625
0.4792801169678569,0.09745521936565638,0.0573973311111331,19,32,0.9599421117454767,0.40924072265625
0.5158991729840636,0.144616290461272,0.07163445046171546,20,32,0.9270181600004435,0.368255615234375
0.505569034256041,0.06841547149815597,0.10232490510679781,21,32,1.0339094336086418,0.414398193359375
0.4816614147275686,0.16290252981707454,0.09820252167992294,22,32,0.9352999918628484,0.423828125
0.5202261358499527,0.09820482297800481,0.10950255393981934,23,32,1.0112977309618145,0.434173583984375
0.5207346482202411,0.10103569808416069,0.10089412634260952,24,32,0.9998584282584488,0.367401123046875
0.5618016291409731,0.0010941181099042296,0.1535032237879932,25,32,1.152409105678089,0.44329833984375
0.5714009534567595,0.016180966573301703,0.116502731340006,26,32,1.1003217647667043,0.40765380859375
0.5704005509614944,0.10231172200292349,0.2758261184208095,27,32,1.173514396417886,0.44097900390625
0.541742842644453,0.029998093988979235,0.29318777238950133,28,32,1.263189678400522,0.458038330078125
0.5944805312901735,0.008906789356842637,0.25538126518949866,29,32,1.246474475832656,0.405975341796875
0.5980174485594034,0.05916546532534994,0.5393541930243373,30,32,1.4801887276989873,0.450836181640625
0.585748353973031,0.13877639453858137,0.5775528503581882,31,32,1.4387764558196068,0.434906005859375
0.5873144268989563,0.11706307926215231,0.9954059142619371,32,32,1.8783428349997848,0.47662353515625
0.5623682402074337,0.16470618802122772,1.3307527173310518,33,32,2.166046529309824,0.42413330078125
0.5427761059254408,0.16467800177633762,1.8188211247324944,34,32,2.6541431229561567,0.474700927734375
0.47316915914416313,0.26168174715712667,1.3511746600270271,35,32,2.0894929128699005,0.508026123046875
